               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.046054,            0.031898,            0.026077,             0.55219,             0.93726,             0.80395,             0.47069,            0.045941,            0.026222,            0.025529,            0.007624,            0.007624,            0.007624
                  38,            0.045524,            0.031547,            0.025609,               0.606,              0.9377,              0.8079,             0.47564,            0.038373,            0.025639,            0.025377,            0.007558,            0.007558,            0.007558
                  39,            0.046395,            0.034131,            0.025748,             0.67615,             0.94787,             0.86262,             0.47104,            0.039896,            0.025975,            0.025051,            0.007492,            0.007492,            0.007492
                  40,            0.045029,             0.03313,            0.025197,             0.43925,             0.95002,             0.75603,             0.37437,            0.041909,            0.025686,            0.024622,            0.007426,            0.007426,            0.007426
                  41,            0.043467,            0.034805,            0.025379,             0.92798,             0.67675,              0.8487,             0.53099,            0.037292,            0.024088,            0.024036,             0.00736,             0.00736,             0.00736
                  42,            0.043261,            0.031863,            0.023501,             0.75705,             0.94631,             0.85204,             0.53358,            0.040026,            0.023999,            0.023761,            0.007294,            0.007294,            0.007294
                  43,            0.046265,            0.029891,             0.02449,             0.88023,             0.68096,             0.84328,             0.58603,            0.044261,            0.024797,            0.023334,            0.007228,            0.007228,            0.007228
                  44,            0.041835,            0.034812,            0.023524,             0.53026,             0.94757,             0.86404,             0.59049,            0.042474,            0.024916,            0.022833,            0.007162,            0.007162,            0.007162
                  45,             0.04136,             0.03158,            0.023694,             0.44237,             0.94836,             0.82286,              0.4634,            0.039646,            0.024176,            0.022487,            0.007096,            0.007096,            0.007096
                  46,            0.041844,            0.031872,            0.023147,             0.81138,             0.94728,             0.85839,             0.53375,            0.036355,             0.02362,            0.022323,             0.00703,             0.00703,             0.00703
                  47,            0.039277,            0.029914,            0.022155,             0.54459,             0.95888,              0.8526,             0.54171,            0.042884,            0.024149,            0.021896,            0.006964,            0.006964,            0.006964
                  48,            0.040583,            0.029215,            0.023145,             0.54695,             0.96038,             0.83681,             0.48628,            0.042272,            0.024739,            0.021395,            0.006898,            0.006898,            0.006898
                  49,            0.040529,            0.031636,            0.021633,             0.58355,             0.96247,             0.82764,             0.57695,            0.033718,            0.023086,            0.021148,            0.006832,            0.006832,            0.006832
                  50,            0.038142,            0.028906,            0.021941,             0.65262,             0.97277,             0.86934,             0.58202,            0.032366,            0.023147,            0.021014,            0.006766,            0.006766,            0.006766
                  51,            0.038774,            0.032953,            0.020841,             0.61359,             0.96617,              0.8556,             0.55462,            0.035659,            0.023685,            0.020765,              0.0067,              0.0067,              0.0067
                  52,            0.037606,            0.029923,            0.022048,             0.62998,             0.96776,             0.89059,             0.65377,            0.038132,            0.023155,             0.02048,            0.006634,            0.006634,            0.006634
                  53,            0.037202,            0.029499,            0.021259,             0.62559,             0.96194,             0.88894,             0.54035,            0.035883,            0.023285,            0.020256,            0.006568,            0.006568,            0.006568
                  54,            0.037952,             0.02895,            0.020993,             0.67342,               0.971,              0.8831,              0.5704,            0.029221,            0.022017,            0.020232,            0.006502,            0.006502,            0.006502
